in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,microbe.rob,notes,
,n,,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,2019,,,,,,38.87225587,-122.4273387,,,,MCL-EE,MCL-EE-12,wild,,,,have another acc,
y,y,chem,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,2020,66,,,0.241,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-10,wild,,,,,
y,y,morph,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,,,,,0.1663,,,,,,,CP,CP-3,wild,,,,,
y,y,,,,,,Chaenactis stevioides,,CHASTE,CHST,Asteraceae,forb,native,2004,44,,0.564,0.0564,100,34.105,-114.20167,202,,W6 30072,GRIN,GRIN-W6-30072,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Chaenactis stevioides,,CHASTE,CHST,Asteraceae,forb,native,2015,,,,0.16,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-1,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium album,,CHEALB,CHAL7,Chenopodiaceae,forb,native,2005,75,23,0.6,0.2,400,34.74944444,-112.0125,1009,,PI 666270,GRIN,GRIN-PI-666270,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium arizonicum,,CHEARI,CHNEN,Chenopodiaceae,forb,native,2014,100,0,,0.06,200,31.9141,-109.1309,1470,,Ames 33026,GRIN,GRIN-Ames-33026,wild,,,,,
y,y,chem,,1,utricle,utricle,Chenopodium arizonicum,,CHEARI,CHNEN,Chenopodiaceae,forb,native,2014,94,0,,0.06,200,31.911,-109.1542,1481,,Ames 33027,GRIN,GRIN-Ames-33027,wild,,,,,
y,y,,,,,,Chenopodium berlandieri,,CHEBER,CHBE4,Chenopodiaceae,forb,native,2005,97,92,1.068,0.14,200,34.74944444,-112.0125,1009,,PI 666275,GRIN,GRIN-PI-666275,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri,,CHEBER,CHBE4,Chenopodiaceae,forb,native,2008,99,13,1.068,0.2,200,34.28444444,-109.8444444,1985,,PI 666296,GRIN,GRIN-PI-666296,wild,,,,,
y,y,,,,,,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2006,94,94,,0.16,200,34.77333333,-112.6077778,1411,,PI 666274,GRIN,GRIN-PI-666274,wild,,,,,
y,y,,,,,,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2008,98,1,,0.22,200,34.95472222,-111.4358333,2206,,PI 666287,GRIN,GRIN-PI-666287,wild,,,,NOT in an aridland,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2014,95,85,,0.14,200,34.2605,-112.7292,1365,,Ames 33009,GRIN,GRIN-Ames-33009,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri var. zschackei,,CHEBERZ,CHBEZ,Chenopodiaceae,forb,native,2008,100,34,,0.26,199,34.28444444,-109.8444444,1985,,PI 666293,GRIN,GRIN-PI-666293,wild,,,,NOT in an aridland,
y,y,both,,1,utricle,utricle,Chenopodium hians,,CHEHIA,CHHI,Chenopodiaceae,forb,native,2008,98,12,,0.16,400,34.63694444,-111.8169444,991,,PI 666312,GRIN,GRIN-PI-666312,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium incanum var. elatum,,CHEINCE,CHINE,Chenopodiaceae,forb,native,2008,98,95,,0.2,400,34.49472222,-111.715,1284,,PI 666314,GRIN,GRIN-PI-666314,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium incanum var. occidentale,,CHEINCO,CHINO,Chenopodiaceae,forb,native,2008,92,,,0.2,400,35.45416667,-113.6058333,1284,,PI 691474,GRIN,GRIN-PI-691474,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium murale,,CHEMUR,CHMU2,Chenopodiaceae,forb,invasive,2015,,,,0.1585,,33.260428,-116.348116,165,,,DW,DW-05,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium neomexicanum,,CHENEO,CHNE3,Chenopodiaceae,forb,native,2008,99,65,,0.14,200,34.50083333,-111.4633333,2110,,PI 666319,GRIN,GRIN-PI-666319,wild,,,,NOT in an aridland,
y,y,,,,,,Chenopodium neomexicanum,,CHENEO,CHNE3,Chenopodiaceae,forb,native,2014,98,0,,0.1,200,31.9123,-109.2491,2006,,Ames 33011,GRIN,GRIN-Ames-33011,wild,,,,,
y,y,chem,,1,utricle,utricle,Chenopodium watsonii,,CHEWAT,CHWA,Chenopodiaceae,forb,native,2005,99,98,,0.08,200,34.77388889,-112.6108333,1412,,Ames 28061,GRIN,GRIN-Ames-28061,wild,,,,,
y,y,,,,,,Chenopodium watsonii,,CHEWAT,CHWA,Chenopodiaceae,forb,native,2005,75,75,,0.1,200,35.20305556,-112.475,1567,,Ames 28064,GRIN,GRIN-Ames-28064,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium watsonii,,CHEWAT,CHWA,Chenopodiaceae,forb,native,2008,95,93,,0.09,200,34.51472222,-112.0069444,1355,,PI 666330,GRIN,GRIN-PI-666330,wild,,,,,
y,y,,,,,,Chorizanthe brevicornu,,CHOBRE,CHBR,Polygonaceae,forb,native,2005,43,,2.7604,0.27604,100,34.01306,-112.64722,885,,W6 30782,GRIN,GRIN-W6-30782,wild,,,,,
y,y,both,y,1,achene,seed,Chorizanthe brevicornu,,CHOBRE,CHBR,Polygonaceae,forb,native,2015,,,,0.1411,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-2,wild,,,,,
y,y,both,,1,achene,seed,Chorizanthe brevicornu var. brevicornu,,CHOBREB,CHBRB,Polygonaceae,forb,native,1998,13.6,,,0.365179952,166,33.65655,-115.80227,457,,19949,CBG,CBG-19949,wild,,,,,
y,y,chem,,1,,seed,Chorizanthe fimbriata,,CHOFIM,CHFI2,Polygonaceae,forb,native,1996,,,,0.037784247,59,33.31805,-116.74555,1265,,19183,CBG,CBG-19183,wild,,,,,
y,y,both,,1,achene,,Chorizanthe fimbriata,,CHOFIM,CHFI2,Polygonaceae,forb,native,2003,88,,,0.221565217,182,33.63663,-117.04461,564,,21158,CBG,CBG-21158,wild,,,,,
y,y,chem,,1,,seed,Chorizanthe staticoides,,CHOSTA,CHST4,Polygonaceae,forb,native,2016,88,,,0.1988,413.8,34.09983,-118.8159,568,,24537,CBG,CBG-24537,wild,,,,,
y,y,morph,,1,achene,,Chorizanthe staticoides,,CHOSTA,CHST4,Polygonaceae,forb,native,2019,58,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-11,cultivated,,,,,
y,y,both,,1,seed,seed,Chylismia brevipes,Camissonia brevipes,CHYBRE,CABR23,Onagraceae,forb,native,2011,2,,,0.324302453,600,34.27282,-116.48488,1112,,23447,CBG,CBG-23447,wild,,,,,
y,y,,,,,,Chylismia cardiophylla,Camissonia cardiophylla,CHYCAR,CACA34,Onagraceae,forb,native,1998,96,,,0.149981349,2500,33.60372,-115.92266,240,,19961,CBG,CBG-19961,wild,,,,,
y,y,both,,1,seed,seed,Chylismia cardiophylla,Camissonia cardiophylla,CHYCAR,CACA34,Onagraceae,forb,native,2010,89.1,,,0.171500083,4900,36.11072,-117.18143,701,,23231,CBG,CBG-23231,wild,,,,,
y,y,both,,1,seed,seed,Chylismia claviformis,Camissonia claviformis,CHYCLA,CACL4,Onagraceae,forb,native,2015,,,,0.1599,,33.239927,-116.390627,212,,,DW,DW-06,wild,,,,,
y,y,both,,1,seed,seed,Chylismia claviformis ssp. claviformis,Camissonia claviformis ssp. claviformis,CHYCLAC,CACLC3,Onagraceae,forb,native,1998,11,,,0.224249111,1950,36.14974,-117.29304,362,,19901,CBG,CBG-19901,wild,,,,,
y,y,both,,1,seed,seed,Chylismia claviformis ssp. funerea,Camissonia claviformis ssp. funerea,CHYCLAF,CACLF,Onagraceae,forb,native,1998,,,,0.192501625,2750,35.65866,-116.28395,136,,19900,CBG,CBG-19900,wild,,,,,
y,y,both,,1,seed,seed,Clarkia dudleyana,,CLADUD,CLDU,Onagraceae,forb,native,2003,96,,,0.145778137,600,34.16358,-117.68269,714,,21170,CBG,CBG-21170,wild,,,,,
y,y,both,,1,seed,seed,Clarkia epilobioides,,CLAEPI,CLEP,Onagraceae,forb,native,2003,20,,,0.040050633,1000,33.63663,-117.04461,564,,21078,CBG,CBG-21078,wild,,,,,
y,y,both,,1,seed,seed,Clarkia gracilis,,CLAGRA,CLGR,Onagraceae,forb,native,2018,,,,0.1243,,38.87149122,-122.4275575,657,location estimate,,MCL-EE,MCL-EE-13,wild,,,,,
y,y,both,,1,seed,seed,Clarkia purpurea,,CLAPUR,CLPU2,Onagraceae,forb,native,2017,,,,0.21,,38.87001302,-122.4283065,665,location estimate,,MCL-ML,MCL-ML-14,wild,x,,x,,
y,y,,,,,,Clarkia purpurea,,CLAPUR,CLPU2,Onagraceae,forb,native,2016,98,,,0.10788,534,34.21967,-117.70438,1454,,24443,CBG,CBG-24443,wild,,,,,
y,y,,,,,,Clarkia purpurea,,CLAPUR,CLPU2,Onagraceae,forb,native,2017,90,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-12,cultivated,,x,x,,
y,y,,,,,,Clarkia purpurea,,CLAPUR,CLPU2,Onagraceae,forb,native,,,,,,,,,,,,MCL-EE,MCL-EE-14,wild,,,,,
y,y,both,,1,seed,seed,Clarkia unguiculata,,CLAUNG,CLUN,Onagraceae,forb,native,2003,,,,0.167999549,600,34.16358,-117.68269,714,,21169,CBG,CBG-21169,wild,,,,,
y,y,,,,,,Clarkia unguiculata,,CLAUNG,CLUN,Onagraceae,forb,native,2020,97,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-13,cultivated,,,,,
y,y,both,,1,seed,seed,Claytonia parviflora ssp. parviflora,,CLAPARP,CLPAP,Montiaceae,forb,native,2005,0,,,0.24,600,34.41231,-117.77355,1588,,21666,CBG,CBG-21666,wild,,,,,
y,y,both,,1,seed,seed,Claytonia parviflora ssp. viridis,,CLAPARV,CLPAV,Montiaceae,forb,native,2005,0,,,0.249974066,600,34.41231,-117.77355,1588,,21667,CBG,CBG-21667,wild,,,,,
y,y,both,,1,seed,seed,Claytonia perfoliata,,CLAPER,CLPE,Montiaceae,forb,native,2003,,,,0.2066103,600,34.32333,-117.27166,960,,21086,CBG,CBG-21086,wild,,,,,
y,y,,,,,,Claytonia perfoliata,,CLAPER,CLPE,Montiaceae,forb,native,2019,48,,,0.24,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-14,wild,,,x,,
y,y,both,,1,seed,seed,Collinsia concolor,,COLCON,COCO,Plantaginaceae,forb,native,2003,4,,,0.2758,550.2,33.63663,-117.04461,564,,21075,CBG,CBG-21075,wild,,,,,
y,y,morph,,1,seed,seed,Collinsia heterophylla,,COLHET,COHE,Plantaginaceae,forb,native,2001,10,,,0.337608696,600,33.78286,-117.37926,703,,20790,CBG,CBG-20790,wild,,,,,
y,y,chem,,1,seed,seed,Collinsia heterophylla,,COLHET,COHE,Plantaginaceae,forb,native,2020,98,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-15,cultivated,,,,,
y,y,,,,,,Collinsia parviflora,,COLPAR,COPA3,Plantaginaceae,forb,native,1998,24,,,0.015292683,66,34.3273,-117.27275,1067,,20050,CBG,CBG-20050,wild,,,,,
y,y,both,,1,seed,seed,Collinsia parviflora,,COLPAR,COPA3,Plantaginaceae,forb,native,2005,4.1,,,0.117545723,136,34.41231,-117.77356,1590,,21674,CBG,CBG-21674,wild,,,,,
,n,,,,,,Collinsia sparsiflora,,COLSPA,COSP,Plantaginaceae,forb,native,,,,,,,,,,,,MCL-EE,MCL-EE-15,wild,,,,,
y,y,both,,1,seed,seed,Collinsia sparsiflora,,COLSPA,COSP,Plantaginaceae,forb,native,2021,,,,0.12,117,38.87130959,-122.4275048,661,,,MCL-ML,MCL-ML-35,wild,,,,,
y,y,both,,1,seed,seed,Convolvulus equitans,,CONEQU,COEQ,Convolvulaceae,forb,native,2004,99,,12.71,1.0168,80,33.96722,-111.8175,1241,,W6 30101,GRIN,GRIN-W6-30101,wild,,,,,
y,y,both,,1,seed,seed,Cordylanthus nevinii,,CORNEV,CONE,Orobanchaceae,forb,native,2019,3.3,,,0.171705526,281,34.36752,-117.80118,2411,,25587,CBG,CBG-25587,wild,,,,,
y,y,both,,1,seed,seed,Cordylanthus rigidus ssp. setiger,Cordylanthus filifolius,CORRIGS,CORIR,Orobanchaceae,forb,native,2020,55,,,0.285898858,600,34.10015,-116.91265,2155,,25618,CBG,CBG-25618,wild,,,,,
y,n,,,,,,Crassula connata,,CRACON,CRCO34,Crassulaceae,forb,native,2021,,,,,,38.87244585,-122.4271412,,S ridge watering Exp NS,,MCL-ML,MCL-ML-19,wild,,,,,
y,y,,,,,,Crassula connata,,CRACON,CRCO34,Crassulaceae,forb,native,2003,,,,0.0105,2100,33.63663,-117.04461,564,,21073,CBG,CBG-21073,wild,,,,,
y,n,,,,,,Crassula connata,,CRACON,CRCO34,Crassulaceae,forb,native,2021,,,,,,39.25693242,-121.3115828,,,,SFREC,SFREC-14,wild,,,,,
,n,,,,,,Crassula connata,,CRACON,CRCO34,Crassulaceae,forb,native,,,,,,,,,,,,MCL-EE,MCL-EE-16,wild,,,,,
y,,,,,,,Cryptantha angustifolia,,CRYANG,CRAN4,Boraginaceae,forb,native,2015,,,,,,33.260428,-116.348116,,use envelope 2,,DW,DW-07,wild,,,,dont need,
y,y,both,,1,nutlet,nutlet,Cryptantha angustifolia,,CRYANG,CRAN4,Boraginaceae,forb,native,2019,,,,0.170403482,600,33.75473,-116.18117,81,,25341,CBG,CBG-25341,wild,,,,,
y,y,both,,1,nutlet,nutlet,Cryptantha barbigera,,CRYBAR,CRBA5,Boraginaceae,forb,native,2015,,,,0.0614,114,33.239051,-116.393231,218,,,DW,DW-08,wild,,,,,
y,y,both,,1,nutlet,nutlet,Cryptantha costata,,CRYCOS,CRCO15,Boraginaceae,forb,native,2012,5.1,,,0.261,1450,33.78259,-115.26145,141,,23536,CBG,CBG-23536,wild,,,,,
y,n,,,1,nutlet,nutlet,Cryptantha hispidula,,CRYHIS,CRHI,Boraginaceae,forb,native,2019,,,,,,38.87274024,-122.4271505,667,,,MCL-EE,MCL-EE-17,wild,,,,elise doesnt have enough,cabinet
y,y,both,,1,nutlet,nutlet,Cryptantha intermedia,,CRYINT,CRIN8,Boraginaceae,forb,native,2003,97.8,,,0.1689,559.3,33.78222,-116.93833,506,,21063,CBG,CBG-21063,wild,,,,,
y,y,both,,1,nutlet,nutlet,Cryptantha micrantha,,CRYMIC,CRMI,Boraginaceae,forb,native,1998,91.4,,,0.048,600,33.65655,-115.80227,457,,19947,CBG,CBG-19947,wild,,,,not enough of this species for phosphorus,
y,y,,,1,nutlet,nutlet,Cryptantha micrantha,,CRYMIC,CRMI,Boraginaceae,forb,native,2005,0,,,0.00025,27,34.46286,-117.8198,1158,,21656,CBG,CBG-21656,wild,,,,not enough of this species for phosphorus,
y,y,both,,1,nutlet,nutlet,Cryptantha muricata,,CRYMUR,CRMU2,Boraginaceae,forb,native,1996,,,,0.168,600,33.31805,-116.74555,1265,,19168,CBG,CBG-19168,wild,,,,,
y,y,both,,1,nutlet,nutlet,Cryptantha nevadensis var. rigida,,CRYNEVR,CRNER,Boraginaceae,forb,native,2016,82,,,0.2237,456.5,35.80835,-115.9604,1096,,24470,CBG,CBG-24470,wild,,,,,
y,y,both,,1,nutlet,nutlet,Cryptantha pterocarya,,CRYPTE,CRPT,Boraginaceae,forb,native,2003,88,,,0.1498,416.1,34.43333,-117.58666,1250,,21041,CBG,CBG-21041,wild,,,,,
y,y,both,,1,seed,seed,Cucurbita palmata,Cucurbita californica,CUCPAL,CUPA,Cucurbitaceae,forb,native,2020,0,,,25.06855127,347,33.64655,-115.84338,420,,25902,CBG,CBG-25902,wild,,,,,
y,y,both,y,1,floret,caryopsis,Cynosurus echinatus,,CYNECH,CYEC,Poaceae,grass,invasive,2021,,,,0.32,,39.25693242,-121.3115828,287,,,SFREC,SFREC-15,wild,,,,,
y,y,,,,,,Daucus pusillus,,DAUPUS,DAPU3,Apiaceae,forb,native,2010,42,10,0.26,0.16,200,34.57833333,-113.3820833,753,,Ames 30658,GRIN,GRIN-Ames-30658,wild,,,,,
y,y,,,,,,Daucus pusillus,,DAUPUS,DAPU3,Apiaceae,forb,native,2010,70,64,0.8,0.3,200,32.06725,-110.65625,1075,,Ames 30662,GRIN,GRIN-Ames-30662,wild,,,,,
y,y,both,,1,mericarp,seed,Daucus pusillus,,DAUPUS,DAPU3,Apiaceae,forb,native,2010,74,47,0.8,0.48,200,32.33343333,-112.7886833,500,,Ames 30663,GRIN,GRIN-Ames-30663,wild,,,,,
y,y,,,,,,Deinandra fasciculata,Hemizonia fasciculata,DEIFAS,HEFA,Asteraceae,forb,native,1996,,,,0.01849635,42,33.65378,-117.88856,20,,19502,CBG,CBG-19502,wild,,,,,
y,y,,,,,,Deinandra fasciculata,Hemizonia fasciculata,DEIFAS,HEFA,Asteraceae,forb,native,1996,59.2,,,0.228610036,254,34.12367,-118.3883,342,,22338,CBG,CBG-22338,wild,,,,,
y,y,both,,1,achene,achene,Deinandra fasciculata,Hemizonia fasciculata,DEIFAS,HEFA,Asteraceae,forb,native,2016,84.6,,,0.119086066,196,34.10444,-118.73132,323,,24538,CBG,CBG-24538,wild,,,,,
y,y,,,,,,Deinandra fasciculata,Hemizonia fasciculata,DEIFAS,HEFA,Asteraceae,forb,native,2018,82,,,0.3208,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-16,wild,,,,,
y,y,both,,1,floret,floret,Deschampsia danthonioides,,DESDAN,DEDA,Poaceae,grass,native,2003,,,,0.169602642,1000,32.89794,-118.48631,480,,21098,CBG,CBG-21098,wild,,,,,
y,y,both,,1,seed,seed,Descurainia pinnata,,DESPIN,DEPI,Brassicaceae,forb,native,2020,,,,0.0959,,,,,,,CP,CP-13,wild,,,,,
y,y,both,,1,seed,seed,Diplacus bigelovii,Mimulus bigelovii,DIPBIG,MIBI6,Phrymaceae,forb,native,2017,0,,,0.16129114,10700,33.5114,-116.2221,252,,24818,CBG,CBG-24818,wild,,,,,
y,y,both,,1,seed,seed,Draba cuneifolia,,DRACUN,DRCU,Brassicaceae,forb,native,2012,,,,0.16,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-3,wild,,,,,
y,n,,,,,,Draba cuneifolia,,DRACUN,DRCU,Brassicaceae,forb,native,2015,,,,,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-4,wild,,,,dont clean,
y,y,,,,,,Draba cuneifolia,,DRACUN,DRCU,Brassicaceae,forb,native,2016,89.1,,,0.0775,1550,35.44455,-115.5445,1678,,24475,CBG,CBG-24475,wild,,,,,
y,y,both,,1,seed,seed,Dysphania ambrosioides,,DYSAMB,DYAM,Chenopodiaceae,forb,invasive,1994,,,0.232,0.08,400,NA,NA,NA,,PI 612852,GRIN,GRIN-PI-612852,cultivated,,,,,
y,y,chem,,1,seed,seed,Dysphania ambrosioides,,DYSAMB,DYAM,Chenopodiaceae,forb,invasive,1994,,,0.232,0.08,400,NA,NA,NA,,PI 612853,GRIN,GRIN-PI-612853,cultivated,,,,,
,,,,,,,Elymus caput-medusae,Taeniatherum caput-medusae,ELYCAP,TACA8,Poaceae,grass,invasive,2016,,,,,,,,,,,MCL-EE,MCL-EE-19,wild,,,,have another acc,
y,y,both,y,1,floret,caryopsis,Elymus caput-medusae,Taeniatherum caput-medusae,ELYCAP,TACA8,Poaceae,grass,invasive,2021,,,,0.41,,39.25693242,-121.3115828,287,,,SFREC,SFREC-19,wild,,x,,,
y,y,both,,1,seed,seed,Emmenanthe penduliflora,,EMMPEN,EMPE,Boraginaceae,forb,native,2016,98,,,0.287651248,600,34.1038,-118.7315,329,,24539,CBG,CBG-24539,wild,,,,,
y,y,both,,1,seed,seed,Emmenanthe penduliflora var. penduliflora,,EMMPENP,EMPEP,Boraginaceae,forb,native,2014,100,,,0.317994394,600,34.1905,-116.47905,1161,,23928,CBG,CBG-23928,wild,,,,,
y,y,both,,1,seed,seed,Epilobium brachycarpum,,EPIBRA,EPBR3,Onagraceae,forb,native,2005,97.9,,,0.1149,600,34.11246,-117.7147,413,,21768,CBG,CBG-21768,wild,,,,,
,n,,,,,,Epilobium brachycarpum,,EPIBRA,EPBR3,Onagraceae,forb,native,2019,,,,,,38.87243,-122.42742,660,,,MCL-EE,MCL-EE-20,wild,,,,only need 200,
y,y,,,,,,Eremothera boothii,Camissonia boothii,EREBOO,CABO7,Onagraceae,forb,native,1998,,,,0.123499483,950,36.17271,-117.302,410,,20045,CBG,CBG-20045,wild,,,,,
y,y,both,,1,seed,seed,Eremothera boothii,Camissonia boothii,EREBOO,CABO7,Onagraceae,forb,native,2011,20.8,,,0.216,1200,34.27334,-116.46411,1128,,23457,CBG,CBG-23457,wild,,,,,
y,y,both,,1,seed,seed,Eriastrum diffusum,,ERIDIF,ERDI2,Polemoniaceae,forb,native,2015,,,,0.2783,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-5,wild,,,,,
y,y,both,,1,seed,seed,Eriastrum eremicum,,ERIERE,ERER2,Polemoniaceae,forb,native,2015,,,,0.0457,,33.23936,-116.391941,215,,,DW,DW-09,wild,,,,,
y,y,,,,,,Eriastrum sapphirinum,,ERISAP,ERSA,Polemoniaceae,forb,native,2000,94,,,0.097831526,600,33.75783,-117.03427,481,,20564,CBG,CBG-20564,wild,,,,,
y,y,both,,1,seed,seed,Eriastrum sapphirinum,,ERISAP,ERSA,Polemoniaceae,forb,native,2003,100,,,0.218978238,1200,34.10741,-117.7013,427,,21164,CBG,CBG-21164,wild,,,,,
y,y,both,,1,achene,achene,Eriogonum gracillimum,,ERIGRA,ERGR6,Polygonaceae,forb,native,2020,,,,0.0453,,,,,,,CP,CP-14,wild,,,,,
y,y,both,,1,achene,achene,Eriogonum parishii,,ERIPAR,ERPA6,Polygonaceae,forb,native,2003,12,,,0.287496958,1250,34.17583,-116.87805,1890,,21262,CBG,CBG-21262,wild,,,,,
y,y,both,,1,achene,achene,Eriogonum pharnaceoides,,ERIPHA,ERPH2,Polygonaceae,forb,native,2010,92,,,0.18,200,35.10580556,-111.538,2202,,W6 40753,GRIN,GRIN-W6-40753,wild,,,,NOT collected in an aridland; collected before 2010,
y,y,both,,1,achene + pappus,achene + pappus,Eriophyllum lanosum,Antheropeas lanosum,ERILAN,ANLA7,Asteraceae,forb,native,2015,,,,0.17,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-6,wild,,,,,
